2021년 08월 10일 18시 30분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: ㅋㅋㅋㅋㅋㅋ 
2021년 08월 10일 18시 30분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: 난 discord.js 소스찾다가 
2021년 08월 10일 18시 30분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: 포기했소 
2021년 08월 10일 18시 31분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: 다에러나서 
2021년 08월 10일 18시 31분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
2021년 08월 10일 18시 31분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: 저거 제로야 ~~ 하면 저기뜨는겨? 
2021년 08월 10일 18시 32분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: yes 
2021년 08월 10일 18시 32분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 제로야 코로나 
2021년 08월 10일 18시 32분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지:  
2021년 08월 10일 18시 32분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지:  
2021년 08월 10일 18시 32분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 와 ㄷㄷ하네 
2021년 08월 10일 18시 32분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: <@!760654167215177749> 
2021년 08월 10일 18시 32분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: ``` 제로야 코로나``` 
2021년 08월 10일 18시 32분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 하면 
2021년 08월 10일 18시 32분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 코로나 API로 코로너 정보 보여줌 
2021년 08월 10일 18시 33분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: 제로야 코로나 
2021년 08월 10일 18시 55분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 123 
2021년 08월 10일 18시 59분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: 와 
2021년 08월 10일 18시 59분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: 센즈 
2021년 08월 10일 19시 00분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: 할머니집에 와파 있었네 
2021년 08월 10일 19시 00분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: 그거 처음알음 
2021년 08월 10일 19시 00분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: ? 
2021년 08월 10일 19시 00분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: ㄹㅇ 걍 산 시골이라서 없을줄알았는대 
2021년 08월 10일 19시 00분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: 삼촌한태 
2021년 08월 10일 19시 00분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: 물어보니깐 있네 
2021년 08월 10일 19시 00분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: ㅋㅋㅋㅋㅋㅋㅋ 
2021년 08월 10일 19시 53분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: Skiddied L 
2021년 08월 10일 19시 53분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 원래 베끼는 것도 실력임 
2021년 08월 10일 19시 53분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 병신같은소리 자제좀 
2021년 08월 10일 19시 54분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 실력이 있어야 베끼는 말든 이게 뭔질 알고 수정하든지 하지 
2021년 08월 10일 19시 54분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 초등학생한테 대충 알려주고 
2021년 08월 10일 19시 54분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 코드 갖다붙이라해도 하겠는데 
2021년 08월 10일 19시 54분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 그걸갖고 실력 운운하는건 
2021년 08월 10일 19시 54분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: 카서#4709 | 메시지: 아니다싶음 ㅋㅋ 
